COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Aruba,ABW,AMRO,REPORTING,12/29/23,217124,90493,203,85,84363,79,,2/17/21,,35659,33
Afghanistan,AFG,EMRO,REPORTING,12/31/23,2.30E+07,1.92E+07,59,49,1.84E+07,47,,2/22/21,,2729940,7
Angola,AGO,AFRO,REPORTING,12/31/23,2.78E+07,1.66E+07,85,50,9609080,29,,3/10/21,,3067091,9
Anguilla,AIA,AMRO,REPORTING,12/29/23,24864,10858,166,72,10382,69,,2/5/21,,3231,22
Albania,ALB,EURO,REPORTING,12/23/23,3088966,1349255,107,47,1279333,44,,1/13/21,,402371,14
Andorra,AND,EURO,REPORTING,12/23/23,157072,57913,203,75,53501,69,,1/20/21,,43071,56
Argentina,ARG,AMRO,REPORTING,12/29/23,1.17E+08,4.12E+07,258,91,3.81E+07,84,,12/29/20,,2.77E+07,61
Armenia,ARM,EURO,REPORTING,12/23/23,2256919,1150915,76,39,1030758,35,,1/27/21,,81354,3
Antigua and Barbuda,ATG,AMRO,REPORTING,12/29/23,136512,64290,139,66,62384,64,,3/1/21,,9838,10
Australia,AUS,WPRO,REPORTING,12/31/23,6.97E+07,2.24E+07,273,88,2.18E+07,85,,2/21/21,,1.44E+07,56
Austria,AUT,EURO,REPORTING,12/23/23,2.04E+07,6909588,229,78,6682372,75,,12/30/20,,5405966,61
Azerbaijan,AZE,EURO,REPORTING,12/23/23,1.38E+07,5436662,136,54,4888112,48,,1/20/21,,3504588,35
Burundi,BDI,AFRO,REPORTING,12/31/23,42252,36909,,,36321,,,10/18/21,,314,
