,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Cumulative_cases,Cumulative_deaths
0,Aruba,ABW,AMRO,REPORTING,2023-12-29,217124.0,90493.0,203.0,85.0,84363.0,79.0,,2021-02-17,,35659.0,33.0,44224.0,292.0
1,Afghanistan,AFG,EMRO,REPORTING,2023-12-31,22964750.0,19151369.0,59.0,49.0,18370386.0,47.0,,2021-02-22,,2729940.0,7.0,235214.0,7998.0
2,Angola,AGO,AFRO,REPORTING,2023-12-31,27819132.0,16550642.0,85.0,50.0,9609080.0,29.0,,2021-03-10,,3067091.0,9.0,107481.0,1937.0
3,Anguilla,AIA,AMRO,REPORTING,2023-12-29,24864.0,10858.0,166.0,72.0,10382.0,69.0,,2021-02-05,,3231.0,22.0,3904.0,12.0
4,Albania,ALB,EURO,REPORTING,2023-12-23,3088966.0,1349255.0,107.0,47.0,1279333.0,44.0,,2021-01-13,,402371.0,14.0,335047.0,3605.0
5,Andorra,AND,EURO,REPORTING,2023-12-23,157072.0,57913.0,203.0,75.0,53501.0,69.0,,2021-01-20,,43071.0,56.0,48015.0,159.0
6,Argentina,ARG,AMRO,REPORTING,2023-12-29,116686617.0,41188650.0,258.0,91.0,38090133.0,84.0,,2020-12-29,,27718875.0,61.0,10102944.0,130678.0
7,Armenia,ARM,EURO,REPORTING,2023-12-23,2256919.0,1150915.0,76.0,39.0,1030758.0,35.0,,2021-01-27,,81354.0,3.0,452273.0,8777.0
8,Antigua and Barbuda,ATG,AMRO,REPORTING,2023-12-29,136512.0,64290.0,139.0,66.0,62384.0,64.0,,2021-03-01,,9838.0,10.0,9106.0,146.0
9,Australia,AUS,WPRO,REPORTING,2023-12-31,69686752.0,22443557.0,273.0,88.0,21766240.0,85.0,,2021-02-21,,14391682.0,56.0,11861161.0,25236.0
10,Austria,AUT,EURO,REPORTING,2023-12-23,20403676.0,6909588.0,229.0,78.0,6682372.0,75.0,,2020-12-30,,5405966.0,61.0,6082582.0,22534.0
11,Azerbaijan,AZE,EURO,REPORTING,2023-12-23,13829360.0,5436662.0,136.0,54.0,4888112.0,48.0,,2021-01-20,,3504588.0,35.0,836285.0,10353.0
12,Burundi,BDI,AFRO,REPORTING,2023-12-31,42252.0,36909.0,,,36321.0,,,2021-10-18,,314.0,,54569.0,15.0
13,Belgium,BEL,EURO,REPORTING,2023-12-23,29117755.0,9248897.0,253.0,80.0,9152736.0,79.0,,2020-12-30,,7246551.0,63.0,4881753.0,34339.0
14,Benin,BEN,AFRO,REPORTING,2023-12-31,4232541.0,3697190.0,35.0,30.0,2742837.0,23.0,,2021-03-29,,,,28036.0,163.0
15,Burkina Faso,BFA,AFRO,REPORTING,2023-12-31,7893609.0,6089089.0,38.0,29.0,5232347.0,25.0,,2021-06-02,,4056.0,,22139.0,400.0
16,Bulgaria,BGR,EURO,REPORTING,2023-12-23,4723016.0,2155863.0,68.0,31.0,2080472.0,30.0,,2020-12-30,,864723.0,12.0,1334300.0,38721.0
17,Bahamas,BHS,AMRO,REPORTING,2023-12-29,366359.0,174810.0,93.0,44.0,166972.0,42.0,,2021-03-14,,33717.0,9.0,39127.0,849.0
18,Bosnia and Herzegovina,BIH,EURO,REPORTING,2023-12-23,1190949.0,546013.0,36.0,17.0,461202.0,14.0,,,,182203.0,6.0,403830.0,16399.0
19,Belarus,BLR,EURO,REPORTING,2023-12-23,22765402.0,6451746.0,241.0,68.0,6366658.0,67.0,,2021-02-03,,5724423.0,61.0,994038.0,7118.0
20,Belize,BLZ,AMRO,REPORTING,2023-12-29,511106.0,236221.0,129.0,59.0,221478.0,56.0,,2021-03-01,,53189.0,13.0,71416.0,688.0
21,Bermuda,BMU,AMRO,REPORTING,2023-12-29,136759.0,48554.0,220.0,78.0,47657.0,77.0,,2021-01-11,,32016.0,51.0,18860.0,165.0
22,Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-12-29,16104540.0,7505389.0,138.0,64.0,6307628.0,54.0,,2021-01-30,,2521192.0,22.0,1212149.0,22387.0
23,Brazil,BRA,AMRO,REPORTING,2023-12-29,516237106.0,184663245.0,243.0,87.0,172876264.0,81.0,,2021-01-17,,110574302.0,52.0,37511921.0,702116.0
24,Barbados,BRB,AMRO,REPORTING,2023-12-29,384049.0,163853.0,134.0,57.0,155047.0,54.0,,2021-01-08,,62848.0,22.0,108815.0,593.0
25,Botswana,BWA,AFRO,REPORTING,2023-12-31,3171667.0,1951054.0,135.0,83.0,1663490.0,71.0,,2021-03-26,,510809.0,22.0,330696.0,2801.0
26,Central African Republic,CAF,AFRO,REPORTING,2023-12-31,3342248.0,2600389.0,69.0,54.0,2484985.0,51.0,,2021-03-19,,366221.0,8.0,15441.0,113.0
27,Canada,CAN,AMRO,REPORTING,2023-12-29,99034734.0,32647931.0,262.0,87.0,31314748.0,83.0,,2020-12-14,,19860368.0,53.0,4819055.0,55282.0
28,Switzerland,CHE,EURO,REPORTING,2023-12-23,16755985.0,6096600.0,194.0,70.0,5723066.0,66.0,,2020-12-23,,4996650.0,58.0,4462113.0,14170.0
29,Chile,CHL,AMRO,REPORTING,2023-12-29,66864900.0,17538744.0,350.0,92.0,17721999.0,93.0,,2020-12-21,,15779434.0,83.0,5402165.0,64497.0
30,Cameroon,CMR,AFRO,REPORTING,2023-12-31,4880572.0,3753733.0,18.0,14.0,3197286.0,12.0,,2021-04-12,,803560.0,3.0,125266.0,1974.0
31,Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-12-31,18808671.0,17045721.0,21.0,19.0,14399520.0,16.0,,2021-04-19,,,,100973.0,1474.0
32,Congo,COG,AFRO,REPORTING,2023-12-31,833210.0,695760.0,15.0,13.0,654119.0,12.0,,2021-03-23,,,,25234.0,389.0
33,Colombia,COL,AMRO,REPORTING,2023-12-29,90931192.0,43012174.0,179.0,85.0,37204128.0,73.0,,2021-02-17,,14944212.0,29.0,6394022.0,142727.0
34,Comoros,COM,AFRO,REPORTING,2023-12-31,835021.0,438825.0,96.0,50.0,397080.0,46.0,,2021-04-10,,,,9109.0,161.0
35,Cabo Verde,CPV,AFRO,REPORTING,2023-12-31,859940.0,356734.0,155.0,64.0,308720.0,56.0,,2021-03-18,,749.0,,64474.0,417.0
36,Costa Rica,CRI,AMRO,REPORTING,2023-12-29,13576935.0,4650636.0,267.0,91.0,4369784.0,86.0,,2020-12-24,,2986527.0,59.0,1235479.0,9374.0
37,Cuba,CUB,AMRO,REPORTING,2023-12-29,45857667.0,10786800.0,405.0,95.0,10043987.0,89.0,,,,8783298.0,78.0,1113662.0,8530.0
38,Cayman Islands,CYM,AMRO,REPORTING,2023-12-29,152148.0,62113.0,232.0,95.0,60696.0,92.0,,2021-01-15,,24064.0,37.0,31472.0,37.0
39,Cyprus,CYP,EURO,REPORTING,2023-12-23,1891597.0,669294.0,213.0,75.0,656138.0,74.0,,2020-12-23,,520026.0,59.0,699372.0,1482.0
40,Czechia,CZE,EURO,REPORTING,2023-12-23,18615329.0,6972222.0,174.0,65.0,6887973.0,64.0,,2020-12-23,,4365928.0,41.0,4777059.0,43554.0
41,Germany,DEU,EURO,REPORTING,2023-12-23,193241457.0,64868618.0,232.0,78.0,63566137.0,76.0,,2020-12-23,,52143826.0,63.0,38437756.0,174979.0
42,Djibouti,DJI,EMRO,REPORTING,2023-12-31,723789.0,372077.0,73.0,38.0,351712.0,36.0,,2021-03-15,,,,15690.0,189.0
43,Dominica,DMA,AMRO,REPORTING,2023-12-29,67647.0,32995.0,94.0,46.0,30659.0,43.0,,2021-02-12,,3993.0,6.0,16047.0,74.0
44,Denmark,DNK,EURO,REPORTING,2023-12-23,14928430.0,4737987.0,256.0,81.0,4781285.0,82.0,,2020-12-16,,3674678.0,63.0,3439642.0,9808.0
45,Dominican Republic,DOM,AMRO,REPORTING,2023-12-29,16431089.0,7360900.0,151.0,68.0,6130483.0,57.0,,2021-02-16,,2575142.0,24.0,661103.0,4384.0
46,Algeria,DZA,AFRO,REPORTING,2023-12-31,15267442.0,7840131.0,35.0,18.0,6481186.0,15.0,,2021-01-30,,575651.0,1.0,272170.0,6881.0
47,Ecuador,ECU,AMRO,REPORTING,2023-12-29,39585085.0,15345791.0,224.0,87.0,14249559.0,81.0,,2021-01-20,,7732930.0,44.0,1078612.0,36053.0
48,Egypt,EGY,EMRO,REPORTING,2023-12-31,102191677.0,56907319.0,100.0,56.0,42337175.0,41.0,,2021-01-24,,15217352.0,15.0,516023.0,24830.0
49,Spain,ESP,EURO,REPORTING,2023-12-23,119228502.0,41332877.0,252.0,87.0,37486219.0,79.0,,2020-12-30,,32914841.0,70.0,13980340.0,121852.0
50,Estonia,EST,EURO,REPORTING,2023-12-23,2205229.0,845148.0,166.0,64.0,842177.0,63.0,,2020-12-23,,487389.0,37.0,610471.0,2998.0
51,Ethiopia,ETH,AFRO,REPORTING,2023-12-31,68856793.0,52489512.0,60.0,46.0,43653006.0,38.0,,2021-03-13,,5978070.0,5.0,501224.0,7574.0
52,Finland,FIN,EURO,REPORTING,2023-12-23,14186622.0,4547671.0,257.0,82.0,4365135.0,79.0,,2020-12-23,,4016189.0,73.0,1499712.0,11466.0
53,France,FRA,EURO,REPORTING,2023-12-23,158060078.0,54677676.0,243.0,84.0,53189148.0,82.0,,2020-12-23,,41042160.0,63.0,39016278.0,168091.0
54,Gabon,GAB,AFRO,REPORTING,2023-12-31,572672.0,311244.0,26.0,14.0,257471.0,12.0,,2021-03-23,,2592.0,,49056.0,307.0
55,United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,2023-12-23,151248820.0,53813491.0,223.0,79.0,50762968.0,75.0,,2020-12-21,,,,24992089.0,232112.0
56,Georgia,GEO,EURO,REPORTING,2023-12-23,2739270.0,1300867.0,69.0,33.0,1187212.0,30.0,,2021-03-17,,251191.0,6.0,1863615.0,17150.0
57,Ghana,GHA,AFRO,REPORTING,2023-12-31,25624828.0,13864186.0,82.0,45.0,10780003.0,35.0,,2021-03-02,,4806017.0,15.0,172107.0,1462.0
58,Guinea,GIN,AFRO,REPORTING,2023-12-31,12049511.0,8715641.0,92.0,66.0,5853990.0,45.0,,2021-03-05,,425378.0,3.0,38575.0,468.0
59,Guadeloupe,GLP,,REPORTING,2023-12-29,400424.0,152189.0,100.0,38.0,146147.0,37.0,,,,89052.0,22.0,203235.0,1021.0
