Series Name,Series Code,COUNTRY,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,180.1883694,626.5129291,566.8811297,523.053012,526.140801,492.090631,497.7414313,512.055098,355.7778264,352.6037331,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.2304355,1126.68334,4578.633208,3952.803574,4124.05539,4531.032207,5287.660801,5396.214243,5343.037704,6377.203096,6810.114041,8367.775731
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2431.55136,1780.376063,6164.644699,4741.49977,4481.081962,4615.868744,4640.314145,4530.101745,3794.409524,4216.251285,5023.252932,5260.20625
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15609.77722,16653.71378,19673.3901,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,19208.67838,21674.29972,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222,42066.49052,42350.69707,46544.72072
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,..,556.884253,5011.984427,3217.33924,1809.709377,2439.374439,2540.508879,2191.347764,1450.905111,1927.474078,2933.484644,2309.52162
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7558.940636,11998.55908,15451.49524,15985.54114,16449.05915,16803.87023,18133.8226,18730.0048,15224.85859,17178.54372,19919.72669,21560.21533
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4330.968191,7666.517834,12334.79825,13789.06042,12790.26414,14613.03565,11795.16275,9963.674162,8500.837939,10650.86046,13650.60463,13730.51471
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,634.5673276,603.2980252,4017.229914,3666.141822,3679.952347,4041.995071,4391.92327,4828.504886,4505.867742,4972.783204,7018.051504,8715.765336
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,11638.73371,21026.16709,26940.26411,28419.26453,28449.71295,29329.08175,30918.48358,31902.80982,24008.12782,29127.75938,33300.83882,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18248.94071,21870.41597,62558.24388,56758.8692,49918.79393,53954.55349,57273.52048,55049.57192,51868.24756,60697.24544,65077.67667,64711.7656
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.98962,24625.60072,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50067.58573,48789.49785,53517.89045,52084.6812,56505.96828
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1238.271893,655.0972496,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7155.083604
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,11696.51137,24849.60648,28201.5568,29722.40684,29661.14108,30666.88387,31389.927,32173.95818,24499.16476,27871.37233,32041.25039,34749.63829
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,9295.213937,12738.77412,25464.7601,22850.6654,22877.93518,24315.49759,25415.84662,25869.11291,23433.18724,26850.00339,30146.92503,29084.30713
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,294.9046524,413.1001853,1108.522513,1236.435456,1659.888173,1815.47222,1963.312441,2122.037652,2233.767282,2457.964466,2687.899063,2529.080127
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7772.808757,11560.2459,16980.02706,17040.41761,17398.98708,17910.7831,18335.95006,19156.03987,17028.41378,17586.33001,20738.45119,22672.61544
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,..,1276.280381,8341.290143,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7994.648061,7829.053137
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20600.37528,23098.88651,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.7214,45587.96831,51863.83116,49942.09064,53475.2935
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,2988.60482,4720.168218,6031.548402,6098.60008,6099.957102,6049.391948,6001.024262,6134.215233,5185.15807,6060.968223,6984.21696,7987.585955
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,381.8050563,502.9979811,1251.504765,1041.652523,1049.820304,1095.274458,1194.438215,1170.885995,1240.733155,1360.911474,1304.994797,1434.662834
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,26841.51974,56284.16865,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,114274.622,123091.1235,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,515.2997216,784.6184027,2793.931303,2899.228294,3097.961234,3427.173845,3389.777303,3564.598771,3181.339747,3561.225287,3704.018395,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,685.9427177,977.3294177,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.023002,3600.121635,3700.978338
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,1725.176559,1332.210217,5196.970084,4654.60862,4917.263766,5327.392304,6024.49315,6094.724823,6095.104237,7237.274463,7587.588173,8426.09111
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2825.724781,3351.696517,6844.03325,5869.737579,6411.551862,6705.340846,6947.817841,6691.160846,5875.070435,7244.158548,7726.110997,7249.799326
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,2554.368631,3726.811669,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149,6923.699912,7794.880979,9065.497334,10043.62392
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13440.66929,17971.89229,41035.77712,30681.43397,26762.03504,28186.98674,31240.50179,30748.30924,27179.35289,31448.91275,37152.47697,33430.91848
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.529821,1621.262107,7912.274844,7078.860323,7570.931655,8381.881346,9447.655897,9874.336326,10148.3424,12219.34187,13974.44925,15797.59558
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,339.6318225,249.8020757,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604,823.5524109,888.8036109,830.0439659,874.1212804
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,206.4449283,138.0046172,257.8185574,289.3596272,242.5395273,244.1454222,232.0606166,216.9729709,216.8274175,221.1578034,259.0250314,199.5807602
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,841.8050176,1176.707258,3739.278279,3169.078901,3312.696745,3534.343575,3860.454808,3903.050317,3126.399859,3489.973397,3883.911159,4321.579864
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,157.3977552,301.5165985,1098.074538,1170.742816,1281.105971,1400.899265,1533.315985,1671.3854,1577.91174,1625.235021,1759.608023,1875.071482
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1077.333545,700.1632362,1631.713985,1399.675336,1426.065481,1479.862223,1593.330753,1538.563063,1539.130545,1654.257037,1563.48894,1673.648889
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21525.86114,24271.00206,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52496.84417,55509.39318,53371.69743
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,76610.64797,77295.84566,78858.27966,81255.11227,85231.77515,89846.3211,84018.33258,88940.15659,96073.76359,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,512.850879,243.8775801,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531,435.4692478,461.137511,427.0580962,445.028196
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,298.3670792,168.1176582,1017.787762,774.4116031,691.9800774,662.897473,720.2651014,701.621201,643.7722157,685.690315,699.4632545,719.3848752
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,44318.2211,..,..,55411.7048,54904.09967,59433.37324,58564.3501,54357.93445,64502.53118,64501.27424,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2483.560863,5102.968761,14675.15086,13567.35722,13788.24001,15034.05844,15820.03337,14616.20725,13162.59135,16185.91477,15411.17395,17093.24197
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,317.884673,959.3604314,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12662.58317,12614.06099
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1467.547436,2546.850214,8167.472842,6228.651621,5936.261022,6449.970988,6782.03792,6436.509215,5308.164707,6182.955944,6657.086697,6979.725135
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,996.5280531,654.1804308,1608.687877,1322.936776,1357.26623,1414.58669,1531.33781,1510.797324,1519.586781,1577.470841,1484.892465,1587.161896
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,..,392.6263338,472.2662357,482.0645686,456.0279506,451.0890885,546.2125932,575.8827814,524.6666862,576.9747294,664.5935433,649.1439879
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1173.264436,1029.960689,3623.827057,2455.340858,2107.518618,2227.732609,2715.260418,2508.940444,2011.28344,2540.470024,2649.230634,2508.823395
