Row Labels;Sum of total_vaccinations
04/12/2020;1
07/12/2020;2
09/12/2020;3
15/12/2020;4
16/12/2020;5
17/12/2020;6
18/12/2020;12
19/12/2020;12 360
20/12/2020;15
21/12/2020;16
22/12/2020;22
23/12/2020;453
24/12/2020;1 140
25/12/2020;5 212
26/12/2020;55 651
27/12/2020;77 709
28/12/2020;120 415
29/12/2020;256 148
30/12/2020;431 462
31/12/2020;599 215
01/01/2021;727 427
02/01/2021;955 962
03/01/2021;1 007 680
04/01/2021;1 299 725
05/01/2021;1 643 283
06/01/2021;1 988 346
07/01/2021;2 410 708
08/01/2021;5 378 485
09/01/2021;4 679 847
10/01/2021;4 698 038
11/01/2021;5 163 573
12/01/2021;15 018 148
13/01/2021;16 612 971
14/01/2021;6 957 687
15/01/2021;23 991 840
16/01/2021;9 705 526
17/01/2021;9 519 183
18/01/2021;10 094 530
19/01/2021;26 518 665
20/01/2021;28 100 923
21/01/2021;29 881 859
22/01/2021;37 720 423
23/01/2021;35 843 319
24/01/2021;36 855 099
25/01/2021;38 337 700
26/01/2021;39 867 957
27/01/2021;41 717 561
28/01/2021;43 995 505
29/01/2021;54 302 823
30/01/2021;51 099 315
31/01/2021;52 329 222
01/02/2021;54 117 992
02/02/2021;55 486 466
03/02/2021;57 635 829
04/02/2021;60 032 113
05/02/2021;72 841 045
06/02/2021;68 137 626
07/02/2021;69 864 052
08/02/2021;72 006 703
09/02/2021;73 899 187
10/02/2021;76 701 934
11/02/2021;79 608 956
12/02/2021;95 227 321
13/02/2021;88 513 931
14/02/2021;90 107 077
15/02/2021;38 456 585
16/02/2021;94 651 057
17/02/2021;96 761 074
18/02/2021;99 592 036
19/02/2021;118 152 881
20/02/2021;109 052 634
21/02/2021;109 602 647
22/02/2021;111 886 020
23/02/2021;113 901 600
24/02/2021;116 573 949
25/02/2021;119 735 232
26/02/2021;142 836 332
27/02/2021;131 561 523
28/02/2021;132 501 995
01/03/2021;135 495 715
02/03/2021;138 852 635
03/03/2021;142 695 553
04/03/2021;146 950 559
05/03/2021;175 225 550
06/03/2021;161 964 197
07/03/2021;162 736 195
08/03/2021;166 666 032
09/03/2021;170 500 275
10/03/2021;174 977 035
11/03/2021;180 115 962
12/03/2021;213 280 590
13/03/2021;198 574 517
14/03/2021;197 186 728
15/03/2021;202 105 663
16/03/2021;205 740 227
17/03/2021;210 099 024
18/03/2021;214 858 710
19/03/2021;249 769 450
20/03/2021;230 979 246
21/03/2021;230 861 418
22/03/2021;235 574 748
23/03/2021;239 698 656
24/03/2021;244 423 366
25/03/2021;249 832 744
26/03/2021;292 795 165
27/03/2021;270 409 485
28/03/2021;268 591 367
29/03/2021;275 133 885
30/03/2021;279 754 878
31/03/2021;285 311 175
01/04/2021;291 626 431
02/04/2021;340 117 441
03/04/2021;314 022 458
04/04/2021;311 937 345
05/04/2021;317 014 102
06/04/2021;321 425 435
07/04/2021;328 251 519
08/04/2021;335 799 636
09/04/2021;394 760 550
10/04/2021;364 165 047
11/04/2021;360 962 822
12/04/2021;368 258 275
13/04/2021;374 592 839
14/04/2021;381 259 596
15/04/2021;388 885 406
16/04/2021;456 210 380
17/04/2021;420 558 212
18/04/2021;415 469 267
19/04/2021;420 773 957
20/04/2021;426 424 089
21/04/2021;433 336 046
22/04/2021;440 665 042
